timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
1.00;90.00;veh0;1to2_0;6.10;0.00;1.00;Car;6.10;-1.60
2.00;90.00;veh0;1to2_0;8.10;0.00;2.00;Car;8.10;-1.60
3.00;90.00;veh0;1to2_0;11.10;0.00;3.00;Car;11.10;-1.60
4.00;90.00;veh0;1to2_0;15.10;0.00;4.00;Car;15.10;-1.60
5.00;90.00;veh0;1to2_0;20.10;0.00;5.00;Car;20.10;-1.60
6.00;90.00;veh0;1to2_0;26.10;0.00;6.00;Car;26.10;-1.60
7.00;90.00;veh0;1to2_0;33.10;0.00;7.00;Car;33.10;-1.60
8.00;90.00;veh0;1to2_0;41.10;0.00;8.00;Car;41.10;-1.60
9.00;90.00;veh0;1to2_0;50.10;0.00;9.00;Car;50.10;-1.60
10.00;90.00;veh0;1to2_0;60.10;0.00;10.00;Car;60.10;-1.60
11.00;90.00;veh0;1to2_0;71.10;0.00;11.00;Car;71.10;-1.60
12.00;90.00;veh0;1to2_0;83.10;0.00;12.00;Car;83.10;-1.60
13.00;90.00;veh0;1to2_0;96.10;0.00;13.00;Car;96.10;-1.60
14.00;90.00;veh0;1to2_0;110.10;0.00;14.00;Car;110.10;-1.60
15.00;90.00;veh0;1to2_0;124.82;0.00;14.72;Car;124.82;-1.60
16.00;90.00;veh0;1to2_0;139.55;0.00;14.72;Car;139.55;-1.60
17.00;90.00;veh0;1to2_0;154.27;0.00;14.72;Car;154.27;-1.60
18.00;90.00;veh0;1to2_0;168.99;0.00;14.72;Car;168.99;-1.60
19.00;90.00;veh0;1to2_0;183.72;0.00;14.72;Car;183.72;-1.60
20.00;90.00;veh0;1to2_0;198.44;0.00;14.72;Car;198.44;-1.60
21.00;90.00;veh0;1to2_0;213.16;0.00;14.72;Car;213.16;-1.60
22.00;90.00;veh0;1to2_0;227.89;0.00;14.72;Car;227.89;-1.60
23.00;90.00;veh0;1to2_0;242.61;0.00;14.72;Car;242.61;-1.60
24.00;90.00;veh0;1to2_0;257.33;0.00;14.72;Car;257.33;-1.60
25.00;90.00;veh0;1to2_0;272.06;0.00;14.72;Car;272.06;-1.60
26.00;90.00;veh0;1to2_0;286.78;0.00;14.72;Car;286.78;-1.60
27.00;90.00;veh0;1to2_0;301.50;0.00;14.72;Car;301.50;-1.60
28.00;90.00;veh0;1to2_0;316.23;0.00;14.72;Car;316.23;-1.60
29.00;90.00;veh0;1to2_0;330.95;0.00;14.72;Car;330.95;-1.60
30.00;90.00;veh0;1to2_0;345.67;0.00;14.72;Car;345.67;-1.60
31.00;90.00;veh0;1to2_0;360.40;0.00;14.72;Car;360.40;-1.60
32.00;90.00;veh0;1to2_0;375.12;0.00;14.72;Car;375.12;-1.60
33.00;90.00;veh0;1to2_0;389.84;0.00;14.72;Car;389.84;-1.60
34.00;90.00;veh0;1to2_0;404.57;0.00;14.72;Car;404.57;-1.60
35.00;90.00;veh0;1to2_0;419.29;0.00;14.72;Car;419.29;-1.60
36.00;90.00;veh0;1to2_0;434.01;0.00;14.72;Car;434.01;-1.60
37.00;90.00;veh0;1to2_0;448.74;0.00;14.72;Car;448.74;-1.60
38.00;90.00;veh0;1to2_0;463.46;0.00;14.72;Car;463.46;-1.60
39.00;90.00;veh0;1to2_0;478.19;0.00;14.72;Car;478.19;-1.60
40.00;90.00;veh0;1to2_0;492.91;0.00;14.72;Car;492.91;-1.60
