timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
1.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
2.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
3.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
4.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
5.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
6.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
7.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
8.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
9.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
10.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
11.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
12.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
13.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
14.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
15.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
16.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
17.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
18.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
19.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
20.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
21.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
22.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
23.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
24.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
25.00;90.00;veh0;1to2_0;5.10;0.00;0.00;Car;5.10;-1.60
