timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;281.75;0;152638972#0_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;5444.85;2855.88
1.00;281.75;0;152638972#0_0;6.89;0.00;1.79;DEFAULT_VEHTYPE;5443.09;2856.24
2.00;281.75;0;152638972#0_0;10.65;0.00;3.76;DEFAULT_VEHTYPE;5439.41;2857.01
2.00;89.66;2;74381050#0_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;5.11;-1.57
3.00;281.75;0;152638972#0_0;16.14;0.00;5.49;DEFAULT_VEHTYPE;5434.04;2858.13
3.00;281.75;1;152638972#0_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;5444.85;2855.88
3.00;89.66;2;74381050#0_0;6.73;0.00;1.63;DEFAULT_VEHTYPE;6.74;-1.56
4.00;281.75;0;152638972#0_0;23.51;0.00;7.38;DEFAULT_VEHTYPE;5426.81;2859.63
4.00;281.75;1;152638972#0_0;7.28;0.00;2.18;DEFAULT_VEHTYPE;5442.71;2856.32
4.00;89.66;2;74381050#0_0;10.00;0.00;3.27;DEFAULT_VEHTYPE;10.01;-1.54
5.00;279.65;0;152638972#0_0;33.34;0.00;9.83;DEFAULT_VEHTYPE;5417.16;2861.45
5.00;281.75;1;152638972#0_0;11.04;0.00;3.76;DEFAULT_VEHTYPE;5439.02;2857.09
5.00;89.66;2;74381050#0_0;15.00;0.00;5.00;DEFAULT_VEHTYPE;15.01;-1.51
6.00;278.62;0;152638972#0_0;45.75;0.00;12.41;DEFAULT_VEHTYPE;5404.89;2863.31
6.00;281.75;1;152638972#0_0;17.01;0.00;5.97;DEFAULT_VEHTYPE;5433.18;2858.31
6.00;89.66;2;74381050#0_0;21.76;0.00;6.77;DEFAULT_VEHTYPE;21.78;-1.47
6.00;281.75;4;152638972#0_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;5444.85;2855.88
7.00;278.62;0;152638972#0_0;59.51;0.00;13.76;DEFAULT_VEHTYPE;5391.28;2865.38
7.00;281.75;1;152638972#0_0;24.83;0.00;7.82;DEFAULT_VEHTYPE;5425.52;2859.90
7.00;89.66;2;74381050#0_0;30.51;0.00;8.75;DEFAULT_VEHTYPE;30.53;-1.42
7.00;281.75;4;152638972#0_0;7.37;0.00;2.27;DEFAULT_VEHTYPE;5442.62;2856.34
8.00;276.00;0;152638972#0_0;75.75;0.00;16.25;DEFAULT_VEHTYPE;5375.14;2867.28
8.00;278.72;1;152638972#0_0;34.84;0.00;10.00;DEFAULT_VEHTYPE;5415.67;2861.68
8.00;88.48;2;74381050#0_0;41.25;0.00;10.74;DEFAULT_VEHTYPE;41.27;-1.25
8.00;281.75;4;152638972#0_0;11.89;0.00;4.51;DEFAULT_VEHTYPE;5438.20;2857.26
9.00;276.00;0;152638972#0_0;93.97;0.00;18.21;DEFAULT_VEHTYPE;5357.02;2869.18
9.00;278.62;1;152638972#0_0;46.73;0.00;11.89;DEFAULT_VEHTYPE;5403.91;2863.46
9.00;86.71;2;74381050#0_0;53.73;0.00;12.48;DEFAULT_VEHTYPE;53.74;-0.54
9.00;281.75;4;152638972#0_0;17.75;0.00;5.86;DEFAULT_VEHTYPE;5432.46;2858.46
9.00;281.75;6;152638972#0_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;5444.85;2855.88
10.00;274.69;0;152638972#0_0;113.94;0.00;19.97;DEFAULT_VEHTYPE;5337.13;2870.97
10.00;278.62;1;152638972#0_0;60.21;0.00;13.48;DEFAULT_VEHTYPE;5390.58;2865.48
10.00;89.66;10;74381050#0_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;5.11;-1.57
10.00;86.71;2;74381050#0_0;67.54;0.00;13.81;DEFAULT_VEHTYPE;67.53;0.25
10.00;281.75;4;152638972#0_0;25.09;0.00;7.34;DEFAULT_VEHTYPE;5425.27;2859.95
10.00;281.75;6;152638972#0_0;7.44;0.00;2.34;DEFAULT_VEHTYPE;5442.56;2856.35
11.00;271.61;0;152638972#0_0;136.19;0.00;22.25;DEFAULT_VEHTYPE;5314.92;2872.48
11.00;276.00;1;152638972#0_0;75.47;0.00;15.25;DEFAULT_VEHTYPE;5375.43;2867.25
11.00;89.66;10;74381050#0_0;7.53;0.00;2.43;DEFAULT_VEHTYPE;7.54;-1.56
11.00;83.90;2;74381050#0_0;83.70;0.00;16.15;DEFAULT_VEHTYPE;83.63;1.60
11.00;279.23;4;152638972#0_0;34.02;0.00;8.93;DEFAULT_VEHTYPE;5416.49;2861.55
11.00;281.75;6;152638972#0_0;12.30;0.00;4.86;DEFAULT_VEHTYPE;5437.80;2857.35
12.00;271.61;0;152638972#0_0;160.31;0.00;24.11;DEFAULT_VEHTYPE;5290.81;2873.16
12.00;276.00;1;152638972#0_0;93.23;0.00;17.76;DEFAULT_VEHTYPE;5357.76;2869.11
12.00;89.66;10;74381050#0_0;11.97;0.00;4.44;DEFAULT_VEHTYPE;11.98;-1.53
12.00;281.75;11;152638972#0_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;5444.85;2855.88
12.00;83.90;2;74381050#0_0;101.20;0.00;17.50;DEFAULT_VEHTYPE;101.05;3.46
12.00;278.62;4;152638972#0_0;44.94;0.00;10.92;DEFAULT_VEHTYPE;5405.68;2863.19
12.00;281.75;6;152638972#0_0;19.14;0.00;6.85;DEFAULT_VEHTYPE;5431.09;2858.74
13.00;270.46;0;152638972#0_0;186.48;0.00;26.17;DEFAULT_VEHTYPE;5264.64;2873.50
13.00;274.69;1;152638972#0_0;112.70;0.00;19.47;DEFAULT_VEHTYPE;5338.37;2870.87
13.00;89.66;10;74381050#0_0;18.20;0.00;6.24;DEFAULT_VEHTYPE;18.22;-1.49
13.00;281.75;11;152638972#0_0;7.64;0.00;2.54;DEFAULT_VEHTYPE;5442.35;2856.40
13.00;81.57;2;74381050#0_0;120.84;0.00;19.64;DEFAULT_VEHTYPE;120.52;6.05
13.00;278.62;4;152638972#0_0;57.65;0.00;12.71;DEFAULT_VEHTYPE;5393.12;2865.10
13.00;281.75;6;152638972#0_0;28.02;0.00;8.88;DEFAULT_VEHTYPE;5422.40;2860.55
14.00;267.65;0;152638972#0_0;214.70;0.00;28.22;DEFAULT_VEHTYPE;5236.42;2873.01
14.00;272.62;1;152638972#0_0;133.77;0.00;21.08;DEFAULT_VEHTYPE;5317.34;2872.41
14.00;89.66;10;74381050#0_0;26.99;0.00;8.79;DEFAULT_VEHTYPE;27.01;-1.44
14.00;281.75;11;152638972#0_0;11.55;0.00;3.91;DEFAULT_VEHTYPE;5438.53;2857.19
