timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
0,89.82,veh_0,-0_0,5.1,0,0,DEFAULT_VEHTYPE,5.1,-1.73
1,89.63,veh_0,-0_0,6.85,0,1.75,DEFAULT_VEHTYPE,6.85,-1.72
2,89.17,veh_0,-0_0,10.51,0,3.66,DEFAULT_VEHTYPE,10.51,-1.66
3,88.61,veh_0,-0_0,16.25,0,5.75,DEFAULT_VEHTYPE,16.25,-1.52
4,87.71,veh_0,-0_0,23.58,0,7.33,DEFAULT_VEHTYPE,23.58,-1.25
5,86.73,veh_0,-0_0,32.51,0,8.92,DEFAULT_VEHTYPE,32.49,-0.77
6,85.44,veh_0,-0_0,43.52,0,11.01,DEFAULT_VEHTYPE,43.47,0.04
7,83.93,veh_0,-0_0,56.27,0,12.75,DEFAULT_VEHTYPE,56.16,1.28
8,82.34,veh_0,-0_0,71.1,0,14.84,DEFAULT_VEHTYPE,70.88,3.12
9,80.33,veh_0,-0_0,88.11,0,17,DEFAULT_VEHTYPE,87.67,5.77
10,78.27,veh_0,-0_0,106.43,0,18.32,DEFAULT_VEHTYPE,105.65,9.26
11,76.08,veh_0,-0_0,124.7,0,18.28,DEFAULT_VEHTYPE,123.45,13.41
12,74.09,veh_0,-0_0,143.04,0,18.33,DEFAULT_VEHTYPE,141.15,18.2
13,72.03,veh_0,-0_0,160.8,0,17.76,DEFAULT_VEHTYPE,158.11,23.47
14,70.08,veh_0,-0_0,178.48,0,17.68,DEFAULT_VEHTYPE,174.8,29.3
15,67.9,veh_0,-0_0,196.7,0,18.22,DEFAULT_VEHTYPE,191.77,35.93
16,65.85,veh_0,-0_0,214.38,0,17.68,DEFAULT_VEHTYPE,208,42.95
17,63.79,veh_0,-0_0,232.63,0,18.25,DEFAULT_VEHTYPE,224.48,50.79
18,61.65,veh_0,-0_0,251.11,0,18.48,DEFAULT_VEHTYPE,240.86,59.34
19,59.63,veh_0,-0_0,269.15,0,18.04,DEFAULT_VEHTYPE,256.54,68.25
20,57.47,veh_0,-0_0,287.98,0,18.83,DEFAULT_VEHTYPE,272.56,78.15
21,55.37,veh_0,-0_0,306.39,0,18.41,DEFAULT_VEHTYPE,287.84,88.41
22,53.3,veh_0,-0_0,324.51,0,18.11,DEFAULT_VEHTYPE,302.51,99.04
23,51.23,veh_0,-0_0,342.21,0,17.7,DEFAULT_VEHTYPE,316.45,109.95
24,49.1,veh_0,-0_0,361.08,0,18.87,DEFAULT_VEHTYPE,330.89,122.1
25,47.07,veh_0,-0_0,379.1,0,18.01,DEFAULT_VEHTYPE,344.23,134.2
26,46.54,veh_0,-0_0,398.05,0,18.95,DEFAULT_VEHTYPE,357.99,147.24
27,46.54,veh_0,-0_0,416.43,0,18.38,DEFAULT_VEHTYPE,371.33,159.88
28,46.54,veh_0,-0_0,435.32,0,18.89,DEFAULT_VEHTYPE,385.04,172.87
29,46.54,veh_0,-0_0,453.87,0,18.55,DEFAULT_VEHTYPE,398.51,185.63
30,,,,,,,,,
