timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;89.71;veh_0;-0_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;5.10;-1.73
1.00;89.14;veh_0;-0_0;6.85;0.00;1.75;DEFAULT_VEHTYPE;6.85;-1.72
2.00;88.86;veh_0;-0_0;10.51;0.00;3.66;DEFAULT_VEHTYPE;10.51;-1.66
3.00;88.29;veh_0;-0_0;16.25;0.00;5.74;DEFAULT_VEHTYPE;16.25;-1.52
4.00;87.42;veh_0;-0_0;23.59;0.00;7.34;DEFAULT_VEHTYPE;23.58;-1.25
5.00;86.28;veh_0;-0_0;32.51;0.00;8.92;DEFAULT_VEHTYPE;32.49;-0.77
6.00;85.14;veh_0;-0_0;43.52;0.00;11.01;DEFAULT_VEHTYPE;43.47;0.04
7.00;83.72;veh_0;-0_0;56.27;0.00;12.75;DEFAULT_VEHTYPE;56.16;1.28
8.00;81.99;veh_0;-0_0;71.11;0.00;14.84;DEFAULT_VEHTYPE;70.88;3.12
9.00;79.98;veh_0;-0_0;88.11;0.00;17.00;DEFAULT_VEHTYPE;87.67;5.77
10.00;77.63;veh_0;-0_0;106.42;0.00;18.32;DEFAULT_VEHTYPE;105.65;9.26
11.00;75.89;veh_0;-0_0;124.70;0.00;18.28;DEFAULT_VEHTYPE;123.45;13.41
12.00;73.74;veh_0;-0_0;143.04;0.00;18.34;DEFAULT_VEHTYPE;141.15;18.20
13.00;71.48;veh_0;-0_0;160.80;0.00;17.76;DEFAULT_VEHTYPE;158.11;23.47
14.00;69.85;veh_0;-0_0;178.48;0.00;17.68;DEFAULT_VEHTYPE;174.80;29.30
15.00;67.67;veh_0;-0_0;196.70;0.00;18.22;DEFAULT_VEHTYPE;191.77;35.93
16.00;65.60;veh_0;-0_0;214.38;0.00;17.68;DEFAULT_VEHTYPE;208.00;42.95
17.00;63.43;veh_0;-0_0;232.64;0.00;18.25;DEFAULT_VEHTYPE;224.48;50.79
18.00;61.53;veh_0;-0_0;251.11;0.00;18.48;DEFAULT_VEHTYPE;240.86;59.34
19.00;59.33;veh_0;-0_0;269.15;0.00;18.04;DEFAULT_VEHTYPE;256.54;68.25
20.00;57.18;veh_0;-0_0;287.98;0.00;18.83;DEFAULT_VEHTYPE;272.56;78.15
21.00;55.12;veh_0;-0_0;306.39;0.00;18.41;DEFAULT_VEHTYPE;287.84;88.41
22.00;53.30;veh_0;-0_0;324.51;0.00;18.12;DEFAULT_VEHTYPE;302.51;99.04
23.00;51.07;veh_0;-0_0;342.21;0.00;17.70;DEFAULT_VEHTYPE;316.45;109.95
24.00;48.84;veh_0;-0_0;361.08;0.00;18.87;DEFAULT_VEHTYPE;330.89;122.10
25.00;47.02;veh_0;-0_0;379.09;0.00;18.01;DEFAULT_VEHTYPE;344.23;134.20
26.00;46.54;veh_0;-0_0;398.05;0.00;18.95;DEFAULT_VEHTYPE;357.99;147.24
27.00;46.54;veh_0;-0_0;416.43;0.00;18.38;DEFAULT_VEHTYPE;371.33;159.88
28.00;46.54;veh_0;-0_0;435.31;0.00;18.89;DEFAULT_VEHTYPE;385.04;172.87
29.00;46.54;veh_0;-0_0;453.87;0.00;18.55;DEFAULT_VEHTYPE;398.51;185.63
