timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
0,90.42,veh_0,-0_0,5.1,0,0,DEFAULT_VEHTYPE,5.09,-1.45
1,90.42,veh_0,-0_0,6.85,0,1.75,DEFAULT_VEHTYPE,6.84,-1.46
2,90.42,veh_0,-0_0,10.51,0,3.66,DEFAULT_VEHTYPE,10.5,-1.49
3,90.42,veh_0,-0_0,16.25,0,5.75,DEFAULT_VEHTYPE,16.24,-1.53
4,90.42,veh_0,-0_0,23.58,0,7.33,DEFAULT_VEHTYPE,23.57,-1.58
5,90.42,veh_0,-0_0,32.51,0,8.92,DEFAULT_VEHTYPE,32.5,-1.65
6,90.42,veh_0,-0_0,43.52,0,11.01,DEFAULT_VEHTYPE,43.51,-1.73
7,88.7,veh_0,-0_0,56.27,0,12.75,DEFAULT_VEHTYPE,56.25,-1.61
8,85.65,veh_0,-0_0,71.1,0,14.84,DEFAULT_VEHTYPE,71.06,-0.74
9,82.14,veh_0,-0_0,88.11,0,17,DEFAULT_VEHTYPE,87.95,1.24
10,78.23,veh_0,-0_0,106.43,0,18.32,DEFAULT_VEHTYPE,105.96,4.54
11,74.39,veh_0,-0_0,124.7,0,18.28,DEFAULT_VEHTYPE,123.68,9.02
12,70.57,veh_0,-0_0,143.04,0,18.33,DEFAULT_VEHTYPE,141.11,14.69
13,56.64,veh_0,-0_0,160.8,0,17.76,DEFAULT_VEHTYPE,157.09,22.24
14,21.05,veh_0,-0_0,178.48,0,17.68,DEFAULT_VEHTYPE,166.76,36.71
15,344.88,veh_0,-0_0,196.7,0,18.22,DEFAULT_VEHTYPE,166.14,54.61
16,309.7,veh_0,-0_0,214.38,0,17.68,DEFAULT_VEHTYPE,155.47,68.36
17,314.63,veh_0,-0_0,232.63,0,18.25,DEFAULT_VEHTYPE,140.99,79.34
18,339.43,veh_0,-0_0,251.11,0,18.48,DEFAULT_VEHTYPE,131.93,95.28
19,3.74,veh_0,-0_0,269.15,0,18.04,DEFAULT_VEHTYPE,130.36,113.11
20,29.01,veh_0,-0_0,287.98,0,18.83,DEFAULT_VEHTYPE,136.67,130.69
21,46.68,veh_0,-0_0,306.39,0,18.41,DEFAULT_VEHTYPE,149.08,144.21
