timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;90.42;veh_0;-0_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;5.09;-1.45
1.00;90.42;veh_0;-0_0;6.85;0.00;1.75;DEFAULT_VEHTYPE;6.84;-1.46
2.00;90.42;veh_0;-0_0;10.51;0.00;3.66;DEFAULT_VEHTYPE;10.50;-1.49
3.00;90.42;veh_0;-0_0;16.25;0.00;5.74;DEFAULT_VEHTYPE;16.24;-1.53
4.00;90.42;veh_0;-0_0;23.58;0.00;7.33;DEFAULT_VEHTYPE;23.57;-1.58
5.00;90.42;veh_0;-0_0;32.51;0.00;8.93;DEFAULT_VEHTYPE;32.50;-1.65
6.00;90.42;veh_0;-0_0;43.52;0.00;11.01;DEFAULT_VEHTYPE;43.51;-1.73
7.00;88.29;veh_0;-0_0;56.26;0.00;12.74;DEFAULT_VEHTYPE;56.25;-1.61
8.00;85.14;veh_0;-0_0;71.10;0.00;14.84;DEFAULT_VEHTYPE;71.06;-0.74
9.00;81.15;veh_0;-0_0;88.11;0.00;17.01;DEFAULT_VEHTYPE;87.95;1.24
10.00;77.69;veh_0;-0_0;106.42;0.00;18.31;DEFAULT_VEHTYPE;105.96;4.54
11.00;73.82;veh_0;-0_0;124.70;0.00;18.28;DEFAULT_VEHTYPE;123.68;9.02
12.00;69.94;veh_0;-0_0;143.03;0.00;18.33;DEFAULT_VEHTYPE;141.11;14.69
13.00;53.40;veh_0;-0_0;160.79;0.00;17.76;DEFAULT_VEHTYPE;157.09;22.24
14.00;14.95;veh_0;-0_0;178.48;0.00;17.68;DEFAULT_VEHTYPE;166.76;36.71
15.00;341.14;veh_0;-0_0;196.70;0.00;18.22;DEFAULT_VEHTYPE;166.14;54.61
16.00;303.24;veh_0;-0_0;214.38;0.00;17.68;DEFAULT_VEHTYPE;155.47;68.36
17.00;318.17;veh_0;-0_0;232.63;0.00;18.25;DEFAULT_VEHTYPE;140.99;79.34
18.00;344.01;veh_0;-0_0;251.11;0.00;18.48;DEFAULT_VEHTYPE;131.93;95.28
