timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
0,90.42,veh_0,-0_0,5.1,0,0,DEFAULT_VEHTYPE,5.09,-1.45
1,90.42,veh_0,-0_0,6.85,0,1.75,DEFAULT_VEHTYPE,6.84,-1.46
2,90.42,veh_0,-0_0,10.51,0,3.66,DEFAULT_VEHTYPE,10.5,-1.49
3,90.42,veh_0,-0_0,16.25,0,5.75,DEFAULT_VEHTYPE,16.24,-1.53
4,90.42,veh_0,-0_0,23.58,0,7.33,DEFAULT_VEHTYPE,23.57,-1.58
5,90.42,veh_0,-0_0,32.51,0,8.92,DEFAULT_VEHTYPE,32.5,-1.65
5,90.42,veh_1,-0_0,5.1,0,0,DEFAULT_VEHTYPE,5.09,-1.45
6,90.42,veh_0,-0_0,43.52,0,11.01,DEFAULT_VEHTYPE,43.51,-1.73
6,90.42,veh_1,-0_0,6.84,0,1.74,DEFAULT_VEHTYPE,6.83,-1.46
7,88.63,veh_0,-0_0,56.61,0,13.1,DEFAULT_VEHTYPE,56.6,-1.6
7,90.42,veh_1,-0_0,10.75,0,3.9,DEFAULT_VEHTYPE,10.73,-1.49
8,85.55,veh_0,-0_0,71.68,0,15.06,DEFAULT_VEHTYPE,71.63,-0.69
8,90.42,veh_1,-0_0,16.57,0,5.83,DEFAULT_VEHTYPE,16.56,-1.53
9,81.96,veh_0,-0_0,88.72,0,17.05,DEFAULT_VEHTYPE,88.56,1.34
9,90.42,veh_1,-0_0,23.81,0,7.23,DEFAULT_VEHTYPE,23.8,-1.58
10,78.24,veh_0,-0_0,106.4,0,17.68,DEFAULT_VEHTYPE,105.94,4.54
10,90.42,veh_1,-0_0,32.91,0,9.11,DEFAULT_VEHTYPE,32.9,-1.65
10,90.42,veh_2,-0_0,5.1,0,0,DEFAULT_VEHTYPE,5.09,-1.45
11,74.53,veh_0,-0_0,124.08,0,17.68,DEFAULT_VEHTYPE,123.09,8.85
11,90.42,veh_1,-0_0,43.92,0,11,DEFAULT_VEHTYPE,43.91,-1.73
11,90.42,veh_2,-0_0,7.23,0,2.13,DEFAULT_VEHTYPE,7.22,-1.46
12,70.79,veh_0,-0_0,142.12,0,18.04,DEFAULT_VEHTYPE,140.25,14.38
