timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;90.42;veh_0;-0_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;5.09;-1.45
1.00;90.42;veh_0;-0_0;6.85;0.00;1.75;DEFAULT_VEHTYPE;6.84;-1.46
2.00;90.42;veh_0;-0_0;10.51;0.00;3.66;DEFAULT_VEHTYPE;10.50;-1.49
3.00;90.42;veh_0;-0_0;16.25;0.00;5.74;DEFAULT_VEHTYPE;16.24;-1.53
4.00;90.42;veh_0;-0_0;23.58;0.00;7.33;DEFAULT_VEHTYPE;23.57;-1.58
5.00;90.42;veh_0;-0_0;32.51;0.00;8.93;DEFAULT_VEHTYPE;32.50;-1.65
5.00;90.42;veh_1;-0_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;5.09;-1.45
6.00;90.42;veh_0;-0_0;43.52;0.00;11.01;DEFAULT_VEHTYPE;43.51;-1.73
6.00;90.42;veh_1;-0_0;6.84;0.00;1.74;DEFAULT_VEHTYPE;6.83;-1.46
7.00;88.29;veh_0;-0_0;56.61;0.00;13.09;DEFAULT_VEHTYPE;56.60;-1.60
7.00;90.42;veh_1;-0_0;10.74;0.00;3.90;DEFAULT_VEHTYPE;10.73;-1.49
8.00;84.60;veh_0;-0_0;71.67;0.00;15.06;DEFAULT_VEHTYPE;71.63;-0.69
8.00;90.42;veh_1;-0_0;16.57;0.00;5.83;DEFAULT_VEHTYPE;16.56;-1.53
9.00;81.15;veh_0;-0_0;88.73;0.00;17.05;DEFAULT_VEHTYPE;88.56;1.34
9.00;90.42;veh_1;-0_0;23.81;0.00;7.24;DEFAULT_VEHTYPE;23.80;-1.58
10.00;77.69;veh_0;-0_0;106.40;0.00;17.68;DEFAULT_VEHTYPE;105.94;4.54
10.00;90.42;veh_1;-0_0;32.91;0.00;9.10;DEFAULT_VEHTYPE;32.90;-1.65
10.00;90.42;veh_2;-0_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;5.09;-1.45
11.00;73.82;veh_0;-0_0;124.09;0.00;17.69;DEFAULT_VEHTYPE;123.09;8.85
