timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
0,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
1,90,veh0,1to2_0,6.1,0,1,Car,6.1,-1.6
2,90,veh0,1to2_0,8.1,0,2,Car,8.1,-1.6
3,90,veh0,1to2_0,11.1,0,3,Car,11.1,-1.6
4,90,veh0,1to2_0,15.1,0,4,Car,15.1,-1.6
5,90,veh0,1to2_0,20.1,0,5,Car,20.1,-1.6
6,90,veh0,1to2_0,26.1,0,6,Car,26.1,-1.6
7,90,veh0,1to2_0,33.1,0,7,Car,33.1,-1.6
8,90,veh0,1to2_0,41.1,0,8,Car,41.1,-1.6
9,90,veh0,1to2_0,50.1,0,9,Car,50.1,-1.6
10,90,veh0,1to2_0,60.1,0,10,Car,60.1,-1.6
11,90,veh0,1to2_0,71.1,0,11,Car,71.1,-1.6
12,90,veh0,1to2_0,83.1,0,12,Car,83.1,-1.6
13,90,veh0,1to2_0,96.1,0,13,Car,96.1,-1.6
14,90,veh0,1to2_0,110.1,0,14,Car,110.1,-1.6
15,90,veh0,1to2_0,124.82,0,14.72,Car,124.82,-1.6
16,90,veh0,1to2_0,139.55,0,14.72,Car,139.55,-1.6
17,90,veh0,1to2_0,154.27,0,14.72,Car,154.27,-1.6
18,90,veh0,1to2_0,168.99,0,14.72,Car,168.99,-1.6
19,90,veh0,1to2_0,183.72,0,14.72,Car,183.72,-1.6
20,90,veh0,1to2_0,198.44,0,14.72,Car,198.44,-1.6
21,90,veh0,1to2_0,213.16,0,14.72,Car,213.16,-1.6
22,90,veh0,1to2_0,227.89,0,14.72,Car,227.89,-1.6
23,90,veh0,1to2_0,242.61,0,14.72,Car,242.61,-1.6
24,90,veh0,1to2_0,257.33,0,14.72,Car,257.33,-1.6
25,90,veh0,1to2_0,272.06,0,14.72,Car,272.06,-1.6
26,90,veh0,1to2_0,286.78,0,14.72,Car,286.78,-1.6
27,90,veh0,1to2_0,301.5,0,14.72,Car,301.5,-1.6
28,90,veh0,1to2_0,316.23,0,14.72,Car,316.23,-1.6
29,90,veh0,1to2_0,330.95,0,14.72,Car,330.95,-1.6
30,90,veh0,1to2_0,345.67,0,14.72,Car,345.67,-1.6
31,90,veh0,1to2_0,360.4,0,14.72,Car,360.4,-1.6
32,90,veh0,1to2_0,375.12,0,14.72,Car,375.12,-1.6
33,90,veh0,1to2_0,389.84,0,14.72,Car,389.84,-1.6
34,90,veh0,1to2_0,404.57,0,14.72,Car,404.57,-1.6
35,90,veh0,1to2_0,419.29,0,14.72,Car,419.29,-1.6
36,90,veh0,1to2_0,434.01,0,14.72,Car,434.01,-1.6
37,90,veh0,1to2_0,448.74,0,14.72,Car,448.74,-1.6
38,90,veh0,1to2_0,463.46,0,14.72,Car,463.46,-1.6
39,90,veh0,1to2_0,478.19,0,14.72,Car,478.19,-1.6
40,90,veh0,1to2_0,492.91,0,14.72,Car,492.91,-1.6
