timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
0,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
1,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
2,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
3,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
4,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
5,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
6,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
7,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
8,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
9,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
10,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
11,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
12,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
13,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
14,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
15,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
16,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
17,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
18,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
19,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
20,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
21,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
22,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
23,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
24,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
25,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
26,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
27,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
28,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
29,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
30,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
31,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
32,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
33,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
34,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
35,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
36,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
37,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
38,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
39,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
40,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
41,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
42,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
43,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
44,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
45,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
46,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
47,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
48,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
49,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
50,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
51,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
52,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
53,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
54,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
55,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
56,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
57,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
58,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
59,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
60,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
61,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
62,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
63,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
64,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
65,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
66,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
67,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
68,90,veh0,1to2_0,5.1,0,0,Car,5.1,-1.6
